序号,类别,名称,规格/型号(示例),数量,单位,单价CNY(估),料号(占位),供货状态,备注,来源章节
1,动力,无刷电机,KV 适配 12S + 13" 折叠桨（按推力预算选型）,4,个,320,VEND-MOT-01,待核,峰值 2418 W/30 s 工况；需实测内阻一致性,05/10
2,动力,电调,80 A 以上 + DShot1200 + 遥测,4,个,260,VEND-ESC-01,待核,并 470 µF 输入电容，紧贴接插件,05/07
3,动力,折叠桨,13"（爬升大距 + 巡航小距两档）,4,副,180,VEND-PRP-01,待核,停机自动顺桨折叠；备 2 副,05/10
4,动力,棘轮变距机构,单向两档（爬升大距→巡航小距）,1,套,220,VEND-RAT-01,待加工,一次性锁存；IL_RATCHET_CRUISE 微动,03/07
5,电池,21700 电芯,高倍率，12S4P = 48 节,48,节,28,VEND-CELL-01,供货波动,**必须实测内阻一致性 ≤ 5 mΩ 偏差**,05/07
6,电池,BMS / 从控,12S 带单体电压与压差上报,1,套,240,VEND-BMS-01,待核,压差 > 0.2 V 判红（检查单 IL-1）,05/17
7,飞控,飞控模块,STM32H7 级 ArduPilot 兼容模块,1,块,1800,VEND-FC-01,待核,**不自己画飞控**；GPLv3,07/09
8,飞控,IMU 主,BMI088 或 ICM-42688-P 级,1,个,150,VEND-IMU-A,待核,陀螺量程 ≥ ±2000 °/s,07
9,飞控,IMU 备,**与主机不同型号**,1,个,150,VEND-IMU-B,待核,避免共模失效；独立 CS + 独立中断,07
10,感知,气压计,DPS310 / BMP390 级,2,个,45,VEND-BARO,待核,**主高度源**（峡谷内）；相对精度 ±0.03 m,07
11,感知,空速计,MS4525DO 级差压,1,个,180,VEND-ASP,待核,±1 % FS；撑开门控硬线信号源,07/09
12,感知,GNSS,u-blox M10（L1 四星座）,1,个,320,VEND-GNSS,待核,预算允许升级 **F9P 双频**（抗多路径）,07
13,感知,磁罗盘,IST8310 / RM3100 级,1,个,90,VEND-MAG,待核,⚠ 峡谷磁异常严重，仅静态初始化,07
14,感知,前向毫米波雷达,77 GHz，≥ 120 m,1,个,650,VEND-RAD,选型难度中,可先放弃实时避障，走 DEM 预规划,07/08
15,视觉,视觉 MCU 板,STM32N6（M55 + Neural-ART NPU）,1,块,480,VEND-VIS,较新,备选 K210 / i.MX RT1170 + TinyMaix,07/09
16,视觉,全局快门 CMOS,OV9282 / AR0234 级（1~2 MP）,1,个,220,VEND-CMOS,待核,识别通道，低延迟；256×256 INT8 ≥ 15 fps,07/09
17,视觉,12 MP 相机模组,IMX477 级 + 6 mm 定焦,1,套,780,VEND-CAM,待核,GSD 6.5 cm @ 250 m AGL,07
18,视觉,Linux 小板,Raspberry Pi Zero 2W / CM4 级,1,块,260,VEND-SBC,待核,启动慢(~30 s) → 起飞前预启动,07
19,存储,microSD,≥ 256 GB U3/V30,2,张,190,VEND-SD,待核,**双卡镜像**，任一可读即可,07
20,通信,LoRa 遥测模块,868/915 MHz,1,个,85,VEND-LORA-T,待核,单向下行；**不接受上行指令**,07
21,通信,LoRa 信标模块,433 MHz 或同频分时,1,个,85,VEND-LORA-B,待核,迫降后每 10 s 一帧，续航 ≥ 6 h,07
22,通信,WiFi 模块（新增）,ESP32-C6 级（AP 模式）,1,个,45,VEND-WIFI,待核,⚠ **pinmap 未分配 UART**，需 07 章补接口,17/18
23,伺服,舵机,金属齿，6 路,6,个,110,VEND-SRV,待核,峰值合计 30 W；12 V 供电,05/07
24,配电,BEC 12V/15A,伺服电源,1,个,150,VEND-BEC12,待核,主配电板上,07
25,配电,BEC 5V/8A,飞控电源,1,个,120,VEND-BEC5F,待核,主配电板上,07
26,配电,BEC 5V/3A,视觉电源,1,个,90,VEND-BEC5V,待核,主配电板上,07
27,配电,BEC 19V/2A,相机电源,1,个,110,VEND-BEC19,待核,主配电板上,07
28,配电,电流/电压监测,INA226,2,个,25,VEND-INA,待核,母线电流/电压遥测 → I²C,07
29,配电,后备锂电,2S 200 mAh + 充电管理,1,套,60,VEND-BAK,待核,**关键**：撞击后主电断仍能完成写盘,07
30,结构,主承力杆,碳纤维圆管（缠绕）,1,根,320,VEND-TUBE,待加工,轴向承载为主,04
31,结构,隔框板材,碳板 / 玻纤板 2~3 mm,1,套,280,VEND-PLATE,待加工,FR-1~FR-4,04
32,结构,吸能机头,EPP 泡沫（分层）,N,个,80,VEND-EPP,消耗品,**可更换，1 次任务 1 个**,06
33,结构,行军桶,⌀380×850 + ⌀300×700,2,个,340,VEND-BARREL,待核,1~2 人 3~5 min 无工具装配,03/11
34,线束,接插件与线材,JST-GH / XT90 / MR30 / 硅胶线,1,套,380,VEND-WIRE,待核,主回路 2 oz 载流；丝印标注方向与信号名,07
35,辅料,三防漆 / 紧固件 / 减振胶,三防漆、30~50 Shore A 软胶,1,套,200,VEND-MISC,待核,高原低气压 + 湿热 → 全部 PCBA 涂三防,07
36,地面,USB 读卡器（OTG）,手机可用,1,个,30,VEND-OTG,易得,死体回收通道（TF 卡读取）,16/19

# 说明
# 1) 本表为**示例变体**，与 docs/10-物料清单BOM.md 同步；单价为量级估计，采购前必须重新询价。
# 2) 料号(占位) 列全部为 VEND-XXX 占位符，**不是真实厂商料号**。
# 3) 数量与规格随构型版本变化；N = 按任务次数确定的消耗品。
# 4) 标注"待核"的项在投产前必须查官方最新数据手册（docs/07 状态：**待验证**）。
